nhom,osm_id,ten,lat,lon
cong_vien,way/1175814568,,21.1943605,106.0719888
cong_vien,way/1175814569,,21.1942453,106.0680928
cong_vien,way/1175934359,,21.0659994,105.8754593
cong_vien,way/1175934361,,21.0666815,105.8751893
cong_vien,way/1175934383,,21.0644948,105.8760647
cong_vien,way/1180263386,,21.011821,105.939693
cong_vien,way/1181403222,,21.2849735,105.3739449
cong_vien,way/1182143661,,21.1760373,105.8433061
cong_vien,way/1182376980,Vườn hoa nhỏ Đền Lừ,20.9858203,105.8610108
cong_vien,way/1182376981,,20.9845933,105.8600882
cong_vien,way/1183291520,,21.3014685,105.6272008
cong_vien,way/1183291522,,21.3160401,105.6199013
cong_vien,way/1183313277,,21.315594,105.6081494
cong_vien,way/1183324312,,21.3015868,105.5661756
cong_vien,way/1183365401,,21.1160944,105.4929456
cong_vien,way/1183409650,,21.1346808,105.5087625
cong_vien,way/1185228308,,21.2942688,105.5771651
cong_vien,way/1185660447,,20.6431136,105.9294416
cong_vien,way/1185660448,,20.641315,105.9298989
cong_vien,way/1185727122,,21.1372011,105.8470382
cong_vien,way/1185901826,,21.1390453,105.8460853
cong_vien,way/1185901853,,21.1387877,105.852457
cong_vien,way/1185911643,,21.1410499,105.8521858
cong_vien,way/1185911644,,21.1429237,105.8520544
cong_vien,way/1187069843,,20.941931,106.0536244
cong_vien,way/1187069844,,20.9428875,106.055926
cong_vien,way/1187069845,,20.9435339,106.0545781
cong_vien,way/1187069846,,20.944266,106.0569288
cong_vien,way/1187069847,,20.9465157,106.0539773
cong_vien,way/1187069848,,20.9469266,106.0561956
cong_vien,way/1187726805,Vườn hoa Kim Quan,21.0580937,105.9014389
cong_vien,way/1188004485,Dự án cải tạo hồ Đầu Băng,21.0270502,105.8885658
cong_vien,way/1188004491,,21.0243581,105.8882335
cong_vien,way/1189163518,,21.1265284,105.6814763
cong_vien,way/1190841554,Vườn hoa Mai Phúc,21.0448072,105.9026106
cong_vien,way/1192418448,,21.1538065,105.4833213
cong_vien,way/1192418449,,21.1537892,105.483887
cong_vien,way/1192422199,,21.1534049,105.4832552
cong_vien,way/1192697425,,21.1977851,105.3311379
cong_vien,way/1192699945,,21.1981805,105.3316047
cong_vien,way/1192699946,,21.1980801,105.3313873
cong_vien,way/1192707046,,21.1993542,105.3359006
cong_vien,way/1193076353,,21.2954284,105.4381257
cong_vien,way/1193271501,,21.1213786,105.4435881
cong_vien,way/1193320940,,21.0244291,105.4654223
cong_vien,way/1193320942,,21.0253289,105.4647107
cong_vien,way/1193593572,,21.1150322,105.4363498
cong_vien,way/1193593586,,21.1149774,105.4375601
cong_vien,way/1193781063,Công viên Thành cổ Sơn Tây,21.1398413,105.5057449
